"Gene"
"ZFYVE26"
"ENPP5"
"GPR137C"
"DYNC1LI2"
"NAPEPLD"
"CDK19"
"HMGA2"
"IGF2BP1"
"PRTG"
"NR6A1"
"LIN28B"
"C14orf28"
"TRIM71"
"GABRA1"
"PDE7A"
"PPARGC1A"
"KLF3"
"SEMA6D"
"AUH"
"PDE4B"
"FUT9"
"INTU"
"TAB3"
"ZBTB34"
"SESN3"
"TRIL"
"SEC23IP"
"TMED5"
"ESR1"
"ATXN1"
"ZMYND11"
"SLC24A3"
"LRP2"
"HCFC2"
"CDKN1B"
"PFN2"
"KCNK10"
"FIGN"
"SMARCAD1"
"NPHP3"
"PTAFR"
"PPM1K"
"ARHGAP20"
"FAM126B"
"TMPO"
"PPP4R4"
"HEXIM1"
"PKP4"
"SFT2D1"
"ATP11C"
"NEK6"
"PTEN"
"TNRC6A"
"C2orf69"
"LPP"
"ETNK1"
"WBP2"
"GATM"
"ACBD5"
"GRSF1"
"AFF1"
"RPS6KA5"
"CHIC1"
"CLOCK"
"MDM4"
"TRIM33"
"DDX3X"
"LRIG3"
"RAB8B"
"CEP350"
"TNRC6B"
"SOX6"
"PATL1"
"RORA"
"NPAT"
"ARID4B"
"MED12L"
"TBC1D20"
"ZNF800"
"NPAS2"
"FAM45A"
"SAR1B"
"BRMS1L"
"GPR6"
"ITGB8"
"VLDLR"
"TXNIP"
"KCNB1"
"RUFY2"
"ARHGAP12"
"STK17B"
"PDCD1LG2"
"RAB22A"
"USP46"
"C2CD2"
"SLC40A1"
"EZH1"
"ITPRIPL2"
"REEP3"
"RRAGD"
"TBC1D9"
"PLEKHA3"
"CFL2"
"PTPN4"
"AAK1"
"SACS"
"ZNF827"
"MAP3K2"
"TIMM9"
"LEMD3"
"FBXL5"
"NCOA3"
"EPHA4"
"EPHA5"
"FRMD6"
"E2F1"
"CAMTA1"
"AKTIP"
"FCHO2"
"ZBTB4"
"SAMD12"
"MKRN1"
"REST"
"KLHL28"
"KIAA0513"
"SOX5"
"CBLL1"
"MIA3"
"RGS7BP"
"MIER1"
"HIC2"
"NAP1L1"
"PGRMC1"
"CBX5"
"CCND2"
"TCF12"
"HECTD2"
"PAIP1"
"GNG5"
"SLAIN1"
"FOXN2"
"MICU3"
"CACUL1"
"ZFHX4"
"ROBO2"
"CNOT6L"
"ZNF117"
"CSNK1G3"
"SLC1A1"
"SEC24A"
"NACC2"
"SLC4A4"
"PPIF"
"CDC40"
"NUP50"
"REPS2"
"MAP4K4"
"RPRD2"
"NCOA2"
"LONRF1"
"BMPR2"
"KIF13A"
"ATXN7L1"
"SKIL"
"USP33"
"RICTOR"
"PIK3CA"
"ZBTB18"
"HBP1"
"PPP1R12A"
"GTF2A1"
"PMEPA1"
"PLXNA4"
"DSEL"
"CDS1"
"ACSL4"
"STOX2"
"HMBOX1"
"CSMD1"
"ATP2B4"
"PCK2"
"ITGB1"
"PSEN2"
"SREK1IP1"
"POLR1C"
"SALL4"
"ADAMTS15"
"SLC10A7"
"SFMBT1"
"PAPPA"
"AGAP1"
"STAT5B"
"CRLF3"
"ELF4"
"SNX5"
"CNR1"
"SOCS6"
"TLK1"
"SEC23A"
"TUSC2"
"PDIA6"
"OSBPL8"
"PTGER4"
"MAP3K1"
"TNPO1"
"STX12"
"CRISPLD1"
"BRWD1"
"C3orf52"
"NAP1L5"
"PRDM1"
"CACNA1C"
"CREBRF"
"CNTFR"
"ABCA1"
"MBNL2"
"FAM43A"
"TSHZ3"
"KPNA6"
"PTPRD"
"AMMECR1L"
"BNIP2"
"CCNL1"
"ELMOD2"
"DTNA"
"KLHL42"
"CAMSAP1"
"TAOK1"
"DNAJA2"
"ZDHHC7"
"SLC35F1"
"C11orf96"
"E2F8"
"CLIP4"
"VASH2"
"GPR63"
"MFSD8"
"CCND1"
"USP3"
"TRIP10"
"MYT1L"
"GXYLT1"
"ZFYVE9"
"ZXDA"
"FGD4"
"ITGA4"
"LRIG1"
"EIF5A2"
"RASGRF2"
"ELK4"
"BCL11B"
"NABP1"
"FRS2"
"NR2C2"
"KMT2B"
